Property	Edit	Values
allocated	NO	<size>
capacity	NO	<size>
checkpoint	NO	<size>
dedupratio	NO	<1.00x or higher if deduped>
expandsize	NO	<size>
fragmentation	NO	<percent>
free	NO	<size>
freeing	NO	<size>
guid	NO	<guid>
health	NO	<state>
leaked	NO	<size>
load_guid	NO	<load_guid>
size	NO	<size>
altroot	YES	<path>
ashift	YES	<ashift, 9-16, or 0=default>
autoexpand	YES	on | off
autoreplace	YES	on | off
autotrim	YES	on | off
bootfs	YES	<filesystem>
cachefile	YES	<file> | none
comment	YES	<comment-string>
dedupditto	YES	<threshold (min 100)>
delegation	YES	on | off
failmode	YES	wait | continue | panic
listsnapshots	YES	on | off
multihost	YES	on | off
readonly	YES	on | off
version	YES	<version>
feature@...	YES	disabled | enabled | active
